赛季,球员姓名,国家,球队,身高,体重,位置,上场时间,场均得分,篮板,助攻,盖帽,防守,效率,命中率
1996-1997,迈克尔 乔丹,美国,公牛,1米98,"98,0 公斤",后卫,42.3,31.1,7.9,4.8,0.8,5.7,28.1,45.6
1996-1997,安芬尼 哈达威,美国,魔术,2米01,"97,5 公斤",后卫,44.0,31.0,6.0,3.4,1.4,4.6,27.8,46.8
1996-1997,格伦  莱斯,美国,黄蜂,2米03,"99,8 公斤",前锋-后卫,45.7,27.7,3.6,3.7,0.3,3.3,25.0,49.1
1996-1997,格伦  莱斯,美国,黄蜂,2米03,"99,8 公斤",前锋-后卫,45.7,27.7,3.6,3.7,0.3,3.3,25.0,49.1
1996-1997,沙奎尔 奥尼尔,美国,湖人,2米16,"136,1 公斤",中锋,36.2,26.9,10.5,3.2,1.8,6.3,26.8,51.4
1996-1997,卡尔 马龙,美国,爵士,2米06,"116,1 公斤",前锋,40.8,26.0,11.4,2.9,0.7,8.4,24.7,43.5
1996-1997,雷克斯 查普曼,美国,太阳,1米93,"88,5 公斤",后卫,38.2,24.2,3.2,2.6,0.0,2.8,17.4,49.4
1996-1997,加里 佩顿,美国,超音速,1米93,"86,2 公斤",后卫,45.5,23.8,5.5,8.7,0.3,3.8,24.0,41.2
1996-1997,格兰特 希尔,美国,活塞,2米03,"102,1 公斤",前锋-后卫,40.6,23.6,6.8,5.4,1.0,4.2,20.0,43.7
1996-1997,哈基姆 奥拉朱旺,尼日利亚,火箭,2米13,"115,7 公斤",中锋,39.3,23.1,10.9,3.4,2.5,8.0,31.0,59.0
1996-1997,帕特里克 尤因,牙买加,尼克斯,2米13,"108,9 公斤",中锋,39.7,22.6,10.6,1.9,2.4,7.7,24.3,52.7
1996-1997,肖恩 坎普,美国,超音速,2米08,"116,1 公斤",前锋,36.8,21.6,12.3,3.0,1.3,8.0,26.5,48.6
1996-1997,斯蒂芬 马布里,美国,森林狼,1米88,"81,6 公斤",后卫,39.0,21.3,4.0,7.7,0.0,3.3,16.3,40.0
1996-1997,拉希德 华莱士,美国,开拓者,2米11,"102,1 公斤",前锋,37.0,19.8,6.0,1.5,0.5,4.0,18.8,58.9
1996-1997,罗德 斯特里克兰,美国,奇才,1米91,"83,9 公斤",后卫,41.3,19.7,6.0,8.3,0.0,4.3,19.7,42.3
1996-1997,阿兰 休斯顿,美国,尼克斯,1米98,"90,7 公斤",后卫,40.0,19.2,2.5,2.3,0.3,2.2,13.7,43.6
1996-1997,斯科蒂 皮蓬,美国,公牛,2米01,"103,4 公斤",前锋-后卫,39.6,19.2,6.8,3.8,0.9,4.9,18.9,41.7
1996-1997,斯蒂文 史密斯,美国,老鹰,2米03,"97,5 公斤",后卫,42.1,18.9,3.9,1.7,0.1,2.7,12.5,39.6
1996-1997,蒂姆 哈达威,美国,热火,1米83,"88,5 公斤",后卫,41.2,18.7,4.1,7.0,0.0,3.3,16.4,35.9
1996-1997,朱万 霍华德,美国,奇才,2米06,"113,4 公斤",前锋-中锋,43.0,18.7,6.0,1.7,0.6,2.7,18.3,46.5
1996-1997,汤姆 古格利奥塔,美国,森林狼,2米08,"108,9 公斤",前锋,40.3,18.3,5.4,4.3,0.6,4.7,18.0,44.2
1996-1997,特雷西 穆雷,美国,奇才,2米01,"103,4 公斤",前锋,29.0,18.3,3.0,0.7,0.6,2.0,19.3,56.7
1996-1997,克莱德 德雷克斯勒,美国,火箭,2米01,"100,7 公斤",后卫-前锋,38.9,18.1,5.6,4.8,0.4,4.0,19.1,43.6
1996-1997,瓦拉德 迪瓦茨,Serbia and Montenegro,黄蜂,,,,38.7,18.0,8.6,3.3,2.0,4.3,21.7,45.7
1996-1997,瓦拉德 迪瓦茨,Serbia and Montenegro,黄蜂,,,,38.7,18.0,8.6,3.3,2.0,4.3,21.7,45.7
1996-1997,查尔斯 巴克利,美国,火箭,1米98,"114,3 公斤",前锋,37.8,17.9,12.0,3.4,0.4,8.0,23.3,43.4
1996-1997,阿隆佐 莫宁,美国,热火,2米08,"118,4 公斤",中锋,37.1,17.8,10.2,1.1,2.7,7.6,17.7,49.1
1996-1997,克里斯蒂安 莱特纳,美国,老鹰,2米11,"111,1 公斤",前锋,40.3,17.6,7.2,2.6,0.8,5.3,16.2,40.5
1996-1997,凯文 加内特,美国,森林狼,2米11,"99,8 公斤",前锋,41.7,17.3,9.4,3.7,1.0,4.7,22.3,47.1
1996-1997,桑蒂埃塔 安德森,美国,开拓者,1米85,"76,2 公斤",后卫,42.3,17.0,4.3,4.8,0.2,3.8,19.0,47.8
1996-1997,戴特勒福 施拉姆夫,美国,超音速,2米08,"106,6 公斤",前锋,38.3,16.9,5.8,3.4,0.0,4.1,18.5,47.2
1996-1997,凯文 约翰逊,美国,太阳,1米85,"86,2 公斤",后卫,41.6,16.8,4.4,6.0,0.0,2.8,13.0,29.5
1996-1997,穆奇 布雷洛克,美国,老鹰,1米85,"83,9 公斤",后卫,44.1,16.4,7.0,6.5,0.2,5.8,18.7,39.6
1996-1997,约翰 斯托克顿,美国,爵士,1米85,"79,4 公斤",后卫,37.0,16.1,3.9,9.6,0.2,3.0,22.5,52.1
1996-1997,Muggsy 博格斯,美国,黄蜂,1米60,"64,0 公斤",后卫,29.0,16.0,1.5,2.5,0.0,1.0,13.5,57.9
1996-1997,Muggsy 博格斯,美国,黄蜂,1米60,"64,0 公斤",后卫,29.0,16.0,1.5,2.5,0.0,1.0,13.5,57.9
1996-1997,克里斯 韦伯,美国,奇才,2米08,"111,1 公斤",前锋-中锋,35.3,15.7,8.0,3.3,2.3,5.7,19.7,63.3
1996-1997,韦斯利 佩森,美国,太阳,1米98,"88,5 公斤",后卫-前锋,32.6,15.6,6.6,1.2,0.6,5.6,17.6,47.2
1996-1997,迪坎贝 穆托姆博,刚果,老鹰,2米18,"113,4 公斤",中锋,41.5,15.4,12.3,1.3,2.6,8.6,24.7,62.8
1996-1997,何塞 霍金斯,美国,超音速,1米91,"86,2 公斤",后卫,40.3,15.3,4.5,2.8,0.3,3.1,17.6,47.0
1996-1997,卡尔伯特 切尼,美国,奇才,2米01,"97,5 公斤",后卫-前锋,40.0,15.0,3.7,1.3,0.6,1.7,11.3,43.9
1996-1997,林奇 亨特,美国,活塞,1米88,"88,5 公斤",后卫,40.2,15.0,3.6,1.2,0.2,2.8,13.2,43.9
1996-1997,劳伊 奥特,美国,快船,2米06,"108,9 公斤",前锋-中锋,30.0,15.0,9.0,0.7,0.6,7.3,19.3,61.3
